Serial	Parallel
1.39158	0.914494
1.32467	0.970924
1.30799	0.918618
1.32047	0.909194
1.38244	0.956835
1.31759	0.965644
1.28991	0.920673
1.38535	0.962276
1.37138	1.04872
1.33865	0.978708
3.73475	2.51459
3.3395	2.12079
3.53696	2.31964
3.40573	2.53565
3.42135	2.22802
3.52892	2.28283
3.59587	2.4466
3.65123	2.38139
3.36761	2.18067
3.5122	2.30557
7.50993	5.71867
7.05856	5.15717
6.89294	5.11079
7.05164	5.30207
7.38103	5.73434
7.27033	5.71404
6.8936	5.09919
7.23968	5.46244
7.18488	5.54466
6.79929	4.84474
10.7706	8.78699
10.6177	8.688
10.8697	8.78375
11.279	9.23056
10.8499	8.62327
11.0459	9.10932
11.7434	9.13135
10.8131	8.47426
11.1497	8.97722
10.9382	9.24489
13.2138	10.5115
13.3342	10.3376
13.1145	10.8022
13.6829	10.7893
13.1922	10.2911
13.1078	10.4425
13.1882	10.4535
13.5731	10.8614
12.8965	9.99691
13.8716	11.31
