Serial	Parallel
2.11459	1.57019
1.75551	1.15912
1.711	1.38261
1.7477	1.17052
1.7246	1.20531
1.68625	1.05442
1.635	1.03878
1.66767	1.04341
1.67706	1.06636
1.6717	1.05461
4.21974	2.71464
4.29167	2.80542
4.33933	2.67408
4.14731	2.6648
4.15334	2.61584
4.16209	2.653
4.27481	2.89716
4.14295	2.6309
4.25127	2.86668
4.26647	2.71732
8.42772	7.03866
8.44222	6.84545
8.19607	6.70814
8.40611	6.73274
8.37861	6.73237
8.7104	7.11576
8.40533	6.66365
8.34836	6.88577
8.42178	6.80226
8.49274	7.09844
13.5196	11.0909
13.6479	10.9951
13.4031	10.6533
13.506	10.5864
13.6184	11.8843
13.0456	10.4687
13.2022	10.3486
12.9506	10.2343
12.817	10.4002
13.1754	10.504
16.0226	12.4292
16.0218	12.378
16.1395	12.4307
16.0132	12.5754
15.8213	12.3677
16.7828	12.4746
15.9221	12.3463
15.7264	12.4471
15.4518	11.9911
15.6734	12.2339
