Serial	Parallel
0.15493	0.137428
0.159095	0.141662
0.170492	0.134816
0.135026	0.13722
0.163466	0.131878
0.14779	0.126862
0.150577	0.128262
0.161611	0.128898
0.152351	0.137686
0.161689	0.141779
0.370506	0.21984
0.381369	0.291808
0.367705	0.327567
0.359757	0.253485
0.364052	0.310411
0.359367	0.289444
0.352959	0.279779
0.360781	0.25973
0.37319	0.235308
0.374976	0.284128
0.703803	0.592778
0.778032	0.437846
0.690953	0.500009
0.67451	0.450592
0.703072	0.461727
0.695518	0.430545
0.669298	0.467658
0.693446	0.418586
0.682327	0.404313
0.684247	0.420207
1.04754	0.667472
1.05116	0.700672
1.09403	0.652571
1.08472	0.693701
1.08054	0.762377
1.08969	0.708649
1.08576	0.705857
1.08685	0.758743
1.05394	0.661551
1.12322	0.721283
1.28257	0.90858
1.22994	0.853303
1.3561	0.85387
1.27263	0.858919
1.2533	0.796072
1.31	0.811396
1.2604	1.05897
1.25699	0.818454
1.28556	0.856913
1.35544	0.851741
