Serial	Parallel
1.56595	1.20727
1.45177	1.03091
1.49841	1.01524
1.44841	0.949185
1.44986	0.985654
1.42799	1.00088
1.39217	0.96374
1.48214	1.00123
1.37574	0.958036
1.44881	0.942323
3.32189	2.17515
3.74196	2.29573
3.85715	2.40758
3.66654	2.34231
3.56318	2.23215
3.49968	2.35322
3.50405	2.21264
3.68741	2.28025
3.6231	2.27368
3.57492	2.27277
7.26459	4.95553
7.28974	5.12328
7.169	4.71374
7.31639	4.89429
7.52774	5.19209
7.17514	4.71029
7.21148	4.88545
7.34861	5.40362
7.55348	5.23852
7.38309	5.00327
11.2573	8.96393
11.024	9.06396
10.7163	8.52624
11.1226	9.11576
11.4439	8.99626
11.3544	9.10448
10.7993	8.47741
11.3128	8.95307
11.3753	9.15591
11.1209	8.79323
13.8773	10.7906
13.3223	10.6423
13.0229	10.415
13.5066	10.7385
13.5406	10.5696
13.2444	10.45
13.7052	10.6702
13.0857	10.1934
13.5197	10.4776
13.2859	10.2871
