Serial	Parallel
1.35722	1.00786
1.34834	0.958381
1.37943	0.869034
1.32598	0.821838
1.32861	0.845679
1.34573	0.906717
1.33397	0.869384
1.3829	0.852731
1.31329	0.879956
1.3844	0.884347
3.43101	2.21164
3.26536	2.20469
3.44509	2.17892
3.2761	2.36247
3.38393	2.23466
3.45437	2.22468
3.42501	2.25225
3.47035	2.29848
3.53064	2.49046
3.40705	2.69046
6.84509	4.86678
6.91197	4.86055
6.7952	5.015
6.91529	4.86125
6.99097	4.97973
6.88572	4.8162
6.81314	5.15832
7.39524	5.43539
7.01456	4.92618
7.0822	5.10663
10.5776	7.99146
10.7196	8.59315
11.2706	8.60769
10.8092	8.02218
11.0327	8.17676
10.4391	8.16823
10.2957	7.44917
10.6331	8.03679
11.1069	8.51249
11.3437	8.74934
12.735	9.61892
13.096	9.69105
12.6307	9.42086
13.8603	11.3499
12.1575	8.87261
13.1869	9.74927
12.9478	9.61085
12.4447	9.16066
12.7653	9.56936
12.8853	9.5898
