Serial	Parallel
1.47635	1.03476
1.37299	0.966187
1.31857	0.918868
1.37782	0.952805
1.35965	1.15041
1.41112	1.03139
1.34527	0.988637
1.41254	1.01205
1.38736	1.03859
1.38654	0.956062
3.52907	2.30795
3.65803	2.51573
3.4258	2.28062
3.5746	2.31234
3.37481	2.20872
3.59025	2.42108
3.55304	2.26374
3.43334	2.22615
3.58964	2.34921
3.67354	2.38036
7.31037	5.51933
6.97571	5.13745
7.24636	5.59472
7.35336	5.5937
7.08691	5.23658
7.14569	5.4136
6.99547	5.16514
7.33842	5.82865
6.87613	5.05343
7.05061	5.49908
11.3446	9.73261
10.9642	9.09264
11.0574	8.99818
11.3721	8.64868
11.2156	8.96487
11.4753	9.3628
11.1517	8.87054
11.2964	9.18591
10.9266	9.48392
11.109	8.86516
13.5038	10.7316
14.015	11.4336
13.0637	10.4691
13.6576	10.7595
13.5937	10.5564
13.3008	10.2743
13.5952	10.4381
13.5	10.588
13.7032	10.9555
13.2421	12.1614
