Serial	Parallel
1.35673	0.955445
1.39509	1.0119
1.29876	0.93645
1.38278	0.979128
1.2537	0.932933
1.39533	1.00994
1.3543	0.958732
1.36749	0.97734
1.36627	0.988616
1.36474	0.979733
3.5192	2.65246
3.49504	2.26793
3.45665	2.23577
3.56565	2.6713
3.52271	2.20841
3.39601	2.48706
3.59545	2.33689
3.53251	2.35107
3.36809	2.13724
3.47228	2.2366
7.29677	5.45305
6.97867	5.30764
6.99504	5.17513
7.00037	5.24329
7.38138	5.50184
7.27192	5.37627
6.82826	5.08435
6.9166	5.06851
6.69816	5.30605
6.78993	5.11889
10.4541	7.89781
11.1009	8.47216
10.8403	7.99846
10.7304	8.06516
11.0312	8.30466
11.1856	8.24789
11.1845	8.28389
11.1919	8.16062
11.5506	9.01947
10.6079	7.88949
12.5691	9.45073
12.9162	9.53615
12.3829	9.45331
13.3872	10.2449
13.5681	10.4133
12.5426	9.44533
13.3482	9.80857
13.1409	9.67352
13.659	9.99163
13.4331	9.8618
